protein,description,log_ratio_1,log_ratio_2,log_ratio_3,avg_ratio,sd_ratio,ratio_count
Q55679,Q55679_SYNY3 Aspartate aminotransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=aspC PE=4 SV=1,NA,NA,NA,NA,NA,0
Q57208,Y014_SYNY3 Uncharacterized protein slr0014 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0014 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55487,Y501_SYNY3 Uncharacterized glycosyltransferase sll0501 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0501 PE=1 SV=1,NA,NA,NA,NA,NA,0
P73509,P73509_SYNY3 Sll1359 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1359 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55900,MIND_SYNY3 Septum site-determining protein MinD OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=minD PE=3 SV=1,NA,NA,NA,NA,NA,0
Q6ZEU6,Q6ZEU6_SYNY3 Sll5034 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll5034 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEK3,Q6ZEK3_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr5127 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73680,P73680_SYNY3 Sll2002 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll2002 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55187,SYFA_SYNY3 Phenylalanine--tRNA ligase alpha subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pheS PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55786,METH_SYNY3 Methionine synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=metH PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55848,KPRS_SYNY3 Ribose-phosphate pyrophosphokinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=prs PE=3 SV=1,NA,NA,NA,NA,NA,0
P73010,P73010_SYNY3 Sec-independent protein translocase protein TatA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=tatA PE=3 SV=1,NA,NA,NA,NA,NA,0
P73445,P73445_SYNY3 Sll1456 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1456 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74440,P74440_SYNY3 Slr0408 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0408 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74454,P74454_SYNY3 Sll0147 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0147 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74500,P74500_SYNY3 Slr1940 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1940 PE=4 SV=1,NA,NA,NA,NA,NA,0
P48944,RS14_SYNY3 30S ribosomal protein S14 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsN PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55403,Y575_SYNY3 Thylakoid membrane protein slr0575 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0575 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73796,URE3_SYNY3 Urease subunit gamma OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ureA PE=3 SV=1,NA,NA,NA,NA,NA,0
P74395,NUSB_SYNY3 Transcription antitermination protein NusB OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=nusB PE=3 SV=2,NA,NA,NA,NA,NA,0
P73129,P73129_SYNY3 Ssr1698 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssr1698 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74506,P74506_SYNY3 Slr1944 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1944 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55470,Y514_SYNY3 Uncharacterized protein sll0514 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0514 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEF5,Q6ZEF5_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll7043 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55887,Q55887_SYNY3 Slr0111 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0111 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73257,ARLY_SYNY3 Argininosuccinate lyase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=argH PE=3 SV=1,NA,NA,NA,NA,NA,0
P73068,RUBR_SYNY3 Rubredoxin OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rub PE=3 SV=1,NA,NA,NA,NA,NA,0
P73769,MUTS_SYNY3 DNA mismatch repair protein MutS OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=mutS PE=3 SV=2,NA,NA,NA,NA,NA,0
P53383,APBC_SYNY3 Iron-sulfur cluster carrier protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=mrp PE=3 SV=1,NA,NA,NA,NA,NA,0
P52276,SYN_SYNY3 Asparagine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=asnS PE=3 SV=2,NA,NA,NA,NA,NA,0
P72807,P72807_SYNY3 Sll1663 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1663 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73145,SSB2_SYNY3 Thylakoid-associated single-stranded DNA-binding protein slr1034 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1034 PE=1 SV=1,NA,NA,NA,NA,NA,0
P74154,P74154_SYNY3 Slr1470 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1470 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73826,PHAB_SYNY3 Acetoacetyl-CoA reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=phaB PE=1 SV=1,NA,NA,NA,NA,NA,0
Q6YRT3,Q6YRT3_SYNY3 Slr6012 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr6012 PE=4 SV=1,NA,NA,NA,NA,NA,0
P49995,DNAA_SYNY3 Chromosomal replication initiator protein DnaA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dnaA PE=3 SV=2,NA,NA,NA,NA,NA,0
Q55954,Q55954_SYNY3 Sll0780 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0780 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55527,Q55527_SYNY3 CheA like protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0322 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55712,Q55712_SYNY3 Slr0635 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0635 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72942,EXBD_SYNY3 Putative biopolymer transport protein ExbD OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0678 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73689,SPPA_SYNY3 Protease 4 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sppA PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55752,RLPA_SYNY3 Probable endolytic peptidoglycan transglycosylase RlpA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rlpA PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55549,Q55549_SYNY3 Slr0168 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0168 PE=4 SV=1,NA,NA,NA,NA,NA,0
P58236,Y761_SYNY3 Uncharacterized protein ssr0761 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssr0761 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55551,Q55551_SYNY3 Ycf37 gene product OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ycf37 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55582,Q55582_SYNY3 Slr0364 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0364 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73560,GCSH_SYNY3 Glycine cleavage system H protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gcvH PE=3 SV=1,NA,NA,NA,NA,NA,0
P73867,KDPB_SYNY3 Potassium-transporting ATPase ATP-binding subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=kdpB PE=3 SV=1,NA,NA,NA,NA,NA,0
P37979,ICFG_SYNY3 Protein IcfG OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=icfG PE=4 SV=2,NA,NA,NA,NA,NA,0
P74182,P74182_SYNY3 Slr1270 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1270 PE=1 SV=1,NA,NA,NA,NA,NA,0
Q55906,Q55906_SYNY3 Slr0302 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0302 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55787,RSMG_SYNY3 Ribosomal RNA small subunit methyltransferase G OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rsmG PE=3 SV=1,NA,NA,NA,NA,NA,0
P72896,P72896_SYNY3 Slr1618 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1618 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55141,ILVH_SYNY3 Acetolactate synthase small subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ilvH PE=3 SV=2,NA,NA,NA,NA,NA,0
P73934,P73934_SYNY3 Slr2105 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2105 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74582,ACNB_SYNY3 Aconitate hydratase B OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=acnB PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55875,Q55875_SYNY3 Sll0102 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0102 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74705,P74705_SYNY3 Slr1178 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1178 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEL9,Q6ZEL9_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr5111 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73035,P73035_SYNY3 Hybrid sensory kinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1759 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73040,P73040_SYNY3 Slr1763 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1763 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q59987,POR_SYNY3 Light-dependent protochlorophyllide reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=por PE=3 SV=2,NA,NA,NA,NA,NA,0
P73668,MURD_SYNY3 UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=murD PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55150,Q55150_SYNY3 Slr0059 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0059 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72780,HHOA_SYNY3 Putative serine protease HhoA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hhoA PE=1 SV=1,NA,NA,NA,NA,NA,0
P73058,HISX1_SYNY3 Histidinol dehydrogenase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hisD1 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q6ZE43,Q6ZE43_SYNY3 Type I site-specific deoxyribonuclease chain R OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll8049 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72794,CYSH_SYNY3 Phosphoadenosine phosphosulfate reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cysH PE=3 SV=1,NA,NA,NA,NA,NA,0
P74503,KACL2_SYNY3 KaiC-like protein 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1942 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72939,P72939_SYNY3 Alkaline phosphatase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0654 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55729,SYM_SYNY3 Methionine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=metG PE=3 SV=1,NA,NA,NA,NA,NA,0
P74686,P74686_SYNY3 Antiviral protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ski2 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEI8,Q6ZEI8_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr7010 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZED8,Q6ZED8_SYNY3 Slr7060 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr7060 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55843,PURQ_SYNY3 Phosphoribosylformylglycinamidine synthase subunit PurQ OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=purQ PE=3 SV=1,NA,NA,NA,NA,NA,0
P73155,P73155_SYNY3 Slr1039 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1039 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73170,P73170_SYNY3 Phenoxybenzoate dioxygenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pobA PE=4 SV=1,NA,NA,NA,NA,NA,0
P74303,P74303_SYNY3 Slr0938 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0938 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73050,P73050_SYNY3 Ferripyochelin binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fbp PE=4 SV=1,NA,NA,NA,NA,NA,0
P72595,P72595_SYNY3 Regulatory protein PchR OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pchR PE=4 SV=1,NA,NA,NA,NA,NA,0
P73845,P73845_SYNY3 Sll1608 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1608 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74605,P74605_SYNY3 Slr1572 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1572 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74232,PUR2_SYNY3 Phosphoribosylamine--glycine ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=purD PE=3 SV=1,NA,NA,NA,NA,NA,0
P74577,P74577_SYNY3 Sll0623 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0623 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55847,Q55847_SYNY3 Sll0470 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0470 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55804,CRHR_SYNY3 RNA helicase CrhR OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=crhR PE=1 SV=1,NA,NA,NA,NA,NA,0
P74747,P74747_SYNY3 Slr0601 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0601 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73365,P73365_SYNY3 PatA subfamily OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1214 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73385,P73385_SYNY3 Sll1739 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1739 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72810,P72810_SYNY3 Sll1660 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1660 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73661,P73661_SYNY3 Slr1888 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1888 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74698,P74698_SYNY3 Slr0459 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0459 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEW5,Q6ZEW5_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl5015 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73264,P73264_SYNY3 3-amino-5-hydroxybenzoic acid synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1140 PE=3 SV=1,NA,NA,NA,NA,NA,0
P74162,P74162_SYNY3 Sll1380 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1380 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73288,P73288_SYNY3 Aklaviketone reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1825 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73862,P73862_SYNY3 Rubisco operon transcriptional regulator OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rbcR PE=1 SV=1,NA,NA,NA,NA,NA,0
Q55422,PUR5_SYNY3 Phosphoribosylformylglycinamidine cyclo-ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=purM PE=3 SV=1,NA,NA,NA,NA,NA,0
P72985,P72985_SYNY3 Slr1600 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1600 PE=4 SV=1,NA,NA,NA,NA,NA,0
P77960,TRPA_SYNY3 Tryptophan synthase alpha chain OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=trpA PE=3 SV=1,NA,NA,NA,NA,NA,0
P74473,P74473_SYNY3 Slr1923 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1923 PE=4 SV=1,NA,NA,NA,NA,NA,0
P26525,NDHI_SYNY3 NAD(P)H-quinone oxidoreductase subunit I OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ndhI PE=1 SV=1,NA,NA,NA,NA,NA,0
P74645,KAIB_SYNY3 Circadian clock protein KaiB OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=kaiB PE=1 SV=1,NA,NA,NA,NA,NA,0
P73413,P73413_SYNY3 Sll1717 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1717 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74208,PYRG_SYNY3 CTP synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pyrG PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55507,Q55507_SYNY3 Ammonium transport protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cysQ PE=4 SV=1,NA,NA,NA,NA,NA,0
P74528,MURC_SYNY3 UDP-N-acetylmuramate--L-alanine ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=murC PE=3 SV=1,NA,NA,NA,NA,NA,0
P73473,RF3_SYNY3 Peptide chain release factor 3 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=prfC PE=3 SV=1,NA,NA,NA,NA,NA,0
P73393,P73393_SYNY3 Sll1734 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1734 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73618,DEOC_SYNY3 Deoxyribose-phosphate aldolase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=deoC PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55690,SYGB_SYNY3 Glycine--tRNA ligase beta subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glyS PE=3 SV=1,NA,NA,NA,NA,NA,0
P72964,P72964_SYNY3 Ycf45 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ycf45 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73921,P73921_SYNY3 Sll1979 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1979 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74186,P74186_SYNY3 Membrane protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pilM PE=4 SV=1,NA,NA,NA,NA,NA,0
P74021,P74021_SYNY3 Hydrogenase small subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hoxY PE=4 SV=1,NA,NA,NA,NA,NA,0
P55175,NIT1_SYNY3 Deaminated glutathione amidase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0601 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73096,P73096_SYNY3 Slr2053 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2053 PE=4 SV=1,NA,NA,NA,NA,NA,0
P26522,NU1C_SYNY3 NAD(P)H-quinone oxidoreductase subunit 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ndhA PE=3 SV=2,NA,NA,NA,NA,NA,0
Q55513,DAPA_SYNY3 4-hydroxy-tetrahydrodipicolinate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dapA PE=3 SV=1,NA,NA,NA,NA,NA,0
Q6YRP4,Q6YRP4_SYNY3 Slr6110 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr6110 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55929,Q55929_SYNY3 Pre-B cell enhancing factor OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0788 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73982,P73982_SYNY3 Slr2115 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2115 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74129,P74129_SYNY3 Slr1978 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1978 PE=4 SV=1,NA,NA,NA,NA,NA,0
P0DJF8,MTAP_SYNY3 S-methyl-5'-thioadenosine phosphorylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=mtnP PE=3 SV=1,NA,NA,NA,NA,NA,0
P33779,NTCA_SYNY3 Global nitrogen regulator OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ntcA PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55709,SECA_SYNY3 Protein translocase subunit SecA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=secA PE=3 SV=1,NA,NA,NA,NA,NA,0
P73861,P73861_SYNY3 Slr1726 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1726 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72886,"P72886_SYNY3 CDP-glucose-4,6-dehydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rfbG PE=4 SV=1",NA,NA,NA,NA,NA,0
P72839,P72839_SYNY3 Slr1301 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1301 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6ZEQ5,Q6ZEQ5_SYNY3 Sll5075 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll5075 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55624,Y755_SYNY3 Putative peroxiredoxin sll0755 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0755 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72764,P72764_SYNY3 Slr1110 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1110 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73627,Y1770_SYNY3 Uncharacterized protein sll1770 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1770 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73548,CDSA_SYNY3 Phosphatidate cytidylyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cdsA PE=3 SV=1,NA,NA,NA,NA,NA,0
P54902,PROA1_SYNY3 Gamma-glutamyl phosphate reductase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=proA1 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72845,P72845_SYNY3 Sll1188 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1188 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73200,P73200_SYNY3 Slr1702 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1702 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55870,Q55870_SYNY3 Slr0626 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0626 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73617,TRPD_SYNY3 Anthranilate phosphoribosyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=trpD PE=3 SV=1,NA,NA,NA,NA,NA,0
P74701,P74701_SYNY3 Transposase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0462 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73441,DEF_SYNY3 Peptide deformylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=def PE=3 SV=1,NA,NA,NA,NA,NA,0
P72893,P72893_SYNY3 Perosamine synthetase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rfbE PE=3 SV=1,NA,NA,NA,NA,NA,0
P73526,QUEG_SYNY3 Epoxyqueuosine reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=queG PE=3 SV=1,NA,NA,NA,NA,NA,0
